,size_id,sample_id,best_width
0,3.0,1,2.9
1,3.0,10,2.8800000000000003
2,3.0,2,2.7999999999999994
3,3.0,3,3.1199999999999997
4,3.0,4,3.0
5,3.0,5,3.0
6,3.0,6,3.14
7,3.0,7,2.9
8,3.0,8,2.52
9,3.0,9,2.6999999999999993
10,4.0,1,3.8800000000000003
11,4.0,10,4.04
12,4.0,2,3.96
13,4.0,3,4.04
14,4.0,4,3.87
15,4.0,5,4.140000000000001
16,4.0,6,4.08
17,4.0,7,3.82
18,4.0,8,4.32
19,4.0,9,3.92
20,5.0,1,4.8
21,5.0,10,4.5
22,5.0,2,4.739999999999999
23,5.0,3,4.699999999999999
24,5.0,4,4.54
25,5.0,5,4.54
26,5.0,6,4.140000000000001
27,5.0,7,4.56
28,5.0,9,4.5
29,6.0,1,5.640000000000001
30,6.0,10,5.64
31,6.0,2,5.7
32,6.0,3,5.7299999999999995
33,6.0,4,5.3999999999999995
34,6.0,5,5.64
35,6.0,6,5.659999999999999
36,6.0,7,5.52
37,6.0,8,5.68
38,6.0,9,5.68
39,7.0,1,6.68
40,7.0,10,6.239999999999999
41,7.0,2,6.56
42,7.0,3,6.44
43,7.0,4,6.319999999999999
44,7.0,5,6.42
45,7.0,6,6.599999999999999
46,7.0,7,6.539999999999999
47,7.0,8,6.52
48,7.0,9,6.52
