,size_id,sample_id,width
0,3,1,2.946
1,3,10,2.685
2,3,2,2.933333333333333
3,3,3,3.09
4,3,4,3.0300000000000002
5,3,5,2.934
6,3,6,3.1714285714285717
7,3,7,2.868
8,3,8,2.6899999999999995
9,3,9,2.6879999999999997
10,4,1,3.82
11,4,10,3.9975
12,4,2,3.8800000000000003
13,4,3,4.034999999999999
14,4,4,4.032000000000001
15,4,5,3.891428571428572
16,4,6,3.87
17,4,7,3.711428571428571
18,4,8,4.08
19,4,9,3.98
20,5,1,4.895
21,5,10,4.499999999999999
22,5,2,4.6971428571428575
23,5,3,4.5685714285714285
24,5,4,4.473333333333333
25,5,5,4.516363636363636
26,5,6,4.140000000000001
27,5,7,4.66
28,5,8,3.96
29,5,9,4.36
30,6,1,5.595
31,6,10,5.598
32,6,2,5.613333333333333
33,6,3,5.68
34,6,4,5.441538461538461
35,6,5,5.565
36,6,6,5.678571428571428
37,6,7,5.4525
38,6,8,5.67
39,6,9,5.784000000000001
40,7,1,6.596666666666667
41,7,10,6.239999999999999
42,7,2,6.506666666666666
43,7,3,6.42
44,7,4,6.514285714285713
45,7,5,6.345
46,7,6,6.3999999999999995
47,7,7,6.467999999999999
48,7,8,6.406153846153846
49,7,9,6.43
